Unnamed: 0,document_number,question,answer,num_hops,num_set_operations,multiple_answer_dimension,llm_response,multiple_answers,sum_values
391,138,"who is the chief financial officer and secretary of rexford industrial realty, l.p.",adeel khan,2,1,0.0,Adeel Khan,0,3
0,138,"who is the chief financial officer and chief financial officer and secretary of rexford industrial realty, l.p.",adeel khan,2,1,,Adeel Khan,0,3
1,138,"who is the chief financial officer and secretary of rexford industrial realty, l.p.",adeel khan,2,1,,Adeel Khan,0,3
2,138,"who is the chief financial officer and secretary and secretary of rexford industrial realty, l.p.",adeel khan,2,1,,Adeel Khan,0,3
7,139,who is the chief financial officer and treasurer of crown castle international corp.,jay a. brown,2,1,,Jay A. Brown,0,3
10,139,who is the chief financial officer of the company where shivani agarwal is employed,jay a. brown,3,0,,Shivani Agarwal,0,3
11,139,who is the treasurer of the company where shivani agarwal is employed,jay a. brown,3,0,,Shivani Agarwal,0,3
12,139,who is the authorized signatory of the company where ronnie glenn is employed,michael king,3,0,,Ronnie Glenn,0,3
13,139,who is the authorized signatory of the company where michael vondriska is employed,michael king,3,0,,Michael Vondriska,0,3
14,139,who is the authorized signatory of the company where eric ridgway is employed,michael king,3,0,,Eric Ridgway,0,3
15,139,who is the authorized signatory of the company where lennie blakeslee is employed,michael king,3,0,,Lennie Blakeslee,0,3
26,149,"who is the executive vice president and secretary of xcel brands, inc.",seth burroughs,2,1,,Seth Burroughs,0,3
27,149,who is the managing director of the company which is the administrative agent in the agreement,michelle handy,2,1,,Michelle Handy,0,3
28,149,who is the managing director of the company which is the collateral agent in the agreement,michelle handy,2,1,,Michelle Handy,0,3
29,149,who is the managing director of the company which is the lead arranger in the agreement,michelle handy,2,1,,Michelle Handy,0,3
32,161,who is the chief financial officer of the company which is the borrower in the agreement,raymond j. pacini,2,1,,Not found,0,3
34,161,what role does bmo capital markets have in the agreement which is not the role of truist bank,lead arrangers,2,1,,co-syndication agent,0,3
35,161,what role does the huntington national bank have in the agreement which is not the role of truist bank,lead arrangers,2,1,,co-syndication agent,0,3
